Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Kingston,518244,169549,51.4126417642477,-0.30114104020205,"6",KT1 1UJ
Kingswood,524816,156585,51.294723138992,-0.211233226116293,"6",KT20 6EN
Knightsbridge,527765,179650,51.5013548976071,-0.160664486118808,"1",SW3 1ED
Knockholt,548499,162896,51.3457519392544,0.130831038819843,"6",TN14 7HR
Ladbroke Grove,524284,181328,51.5172106734536,-0.210198172458574,"2",W10 6HJ
Ladywell,537716,174884,51.4561921350751,-0.019244401145345,"3",SE13 7XB
Lambeth North,531165,179489,51.4991299458658,-0.111768261180963,"1",SE1 7XG
Lancaster Gate,526711,180796,51.5118909430837,-0.175429928574922,"1",W2 4QH
Langdon Park,537807,181863,51.5188839383514,-0.0152137989598117,"2",E14 6NW
Latimer Road,523789,180954,51.5139580984839,-0.217459666065143,"2",W10 6SZ
Lebanon Road,533385,165756,51.3751989969703,-0.0849736491745109,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.4494585198825,0.013364692370397,"3",SE12 9JG
Leicester Square,529987,180812,51.5112911816198,-0.128242147580481,"1",WC2H 0AP
Lewisham,538163,175863,51.4648807132354,-0.0124327009058803,"2,3",SE13 7RY
Leyton,538295,186244,51.5581322702431,-0.00646533158243596,"3",E10 5PS
Leyton Midland Road,538150,187490,51.569364239337,-0.00806634743339343,"3",E10 6JT
Leytonstone,539345,187429,51.5685222890996,0.00914045195130117,"3,4",E11 1HE
Leytonstone High Road,539298,186903,51.5638073441885,0.00825446883118232,"3",E11 4RE
Limehouse,536150,181087,51.5123121635383,-0.0393800777495485,"2",E14 7JD
Liverpool Street,533160,181596,51.5175982643439,-0.0822496222771093,"1",EC2M 7PR
Lloyd Park,533711,164549,51.3642755351541,-0.0807462730721692,"3,4,5,6",CR0 5RA
London Bridge,532937,180152,51.5046743475629,-0.0860055981730393,"1",SE1 2SW
London City Airport,542231,180294,51.5036896641552,0.0478727154448085,"3",E16 2DS
London Fields,534795,184212,51.5407188411011,-0.0576996864103553,"2",E8 3PH
Loughborough Junction,531902,175897,51.4666788998768,-0.102497341535979,"2",SW9 8SA
Loughton,542314,195641,51.6415704776977,0.0552790791032814,"6",IG10 4PD
Lower Sydenham,536831,171372,51.4248468425116,-0.033330341542937,"4",SE26 5AU
Maida Vale,525967,182792,51.5299950567181,-0.185432646931354,"2",W9 1JS
Malden Manor,521101,166497,51.3846095360584,-0.261120416398882,"4",KT3 5PN
Manor House,532074,187482,51.5707471402202,-0.0956849762588548,"2,3",N4 1BZ
Manor Park,541929,185757,51.5528543500504,0.045723870060229,"3,4",E12 5EP
Mansion House,532347,180962,51.5120917501221,-0.0941976577543322,"1",EC4N 6JD
Marble Arch,527875,181056,51.5139654917905,-0.158571216249827,"1",W1C 2JS
Maryland,539175,184881,51.5456682710343,0.00568165418182294,"3",E15 1SA
Marylebone,527510,181985,51.5223966684401,-0.163492563860306,"1",NW1 6JJ
Maze Hill,539194,177909,51.4830136565247,0.00320489681765471,"3",SE10 9XG
Merton Park,525182,169798,51.4133916084448,-0.201342031166711,"3,4,5,6",SW19 3HA
Mile End,536577,182545,51.5253109704202,-0.0326660843305231,"2",E3 4DH
Mill Hill Broadway,521300,191900,51.612871127886,-0.249537068494836,"4",NW7 2JU
Mill Hill East,524057,191460,51.6083166446287,-0.209895712873731,"4",NW7 1BS
Mitcham,527345,168082,51.3974886140722,-0.170871647171924,"3,4,5,6",CR4 4BD
Mitcham Eastfields,528488,169323,51.4083839098653,-0.154001718800568,"3",CR4 2ND
Mitcham Junction,528292,167611,51.3930425679437,-0.157436643661822,"4",CR4 4HN
Monument,532907,180814,51.5106304159018,-0.0861883136877794,"1",EC4R 9AA
Moor Park,508563,193509,51.6299306654104,-0.432913027426758,"6,7",HA6 2JQ
Moorgate,532688,181677,51.5184371390077,-0.0890176878750945,"1",EC2M 6TX
Morden,525664,168563,51.4021859616135,-0.194851981723419,"4",SM4 5AZ
Morden Road,525788,169310,51.408871889006,-0.19280567725152,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.3963076975749,-0.200301562051216,"4",SM4 5AN
Mornington Crescent,529193,183359,51.5343622173569,-0.138744349838543,"2",NW1 2JA
Mortlake,520458,175779,51.468167936091,-0.267203313914429,"3",SW14 8LN
Motspur Park,522581,167724,51.3953196266089,-0.239439745975172,"4",KT3 6JJ
Mottingham,542600,173197,51.439824976607,0.0503242021767052,"4",SE9 4EN
Mudchute,537908,178789,51.4912361853377,-0.0149599448927628,"2",E14 9UW
Neasden,521415,185422,51.5546277170065,-0.250115045332305,"3",NW10 1PH
New Addington,538187,162255,51.3425905089639,-0.0173833270853994,"3,4,5,6",CR0 0DE
New Barnet,526502,195996,51.6485367698006,-0.172969714019881,"5",EN5 1QT
New Beckenham,536718,170463,51.416705548656,-0.0353049493204362,"4",BR3 1QW
New Cross,536750,177110,51.4764294151816,-0.0322788115029916,"2",SE14 6LD
New Cross Gate,536250,176967,51.4752649281612,-0.0395290519360524,"2",SE14 6AR
New Eltham,544005,172999,51.4376906601877,0.0704446183922663,"4",SE9 2AB
New Malden,521392,168612,51.4035559067229,-0.256218106160674,"4",KT3 4PX
New Southgate,528672,192218,51.6140936665749,-0.143009776041921,"4",N11 1QH
Newbury Park,544947,188378,51.5756383559361,0.090303157711892,"4",IG2 7RN
Norbiton,519424,169495,51.4119093510218,-0.284199947894883,"5",KT2 7AZ
Norbury,530650,169690,51.4111885028721,-0.1227994018447,"3",SW16 3RW
North Acton,520831,181937,51.5234324274314,-0.259729527847009,"2,3",W3 6UP
North Dulwich,532950,174567,51.4544818086691,-0.0879186807179378,"2,3",SE21 7BX
North Ealing,518816,181243,51.5176222888529,-0.288993552615282,"3",W5 3AF
North Greenwich,539168,179827,51.5002551525582,0.00358625912485761,"2,3",SE10 0PH
North Harrow,513540,188578,51.5846312989274,-0.362632993263413,"5",HA2 7SR
North Sheen,519132,175442,51.4654196112512,-0.286397466744351,"3",TW9 4QA
North Wembley,517663,186198,51.5623962915381,-0.30394821929308,"4",HA0 3NT
Northfields,517051,179296,51.5004916704598,-0.315064818770216,"3",W13 9QU
Northolt,513228,184519,51.548212900955,-0.368440595510011,"5",UB5 4AA
Northolt Park,513829,185579,51.5576190512839,-0.359434196382601,"5",UB5 4XE
Northwick Park,516634,187967,51.5785086880148,-0.318199391910867,"4",HA3 0AT
Northwood,509236,191441,51.611213610715,-0.423837786672373,"6",HA6 2XL
Northwood Hills,510267,190305,51.6008026453293,-0.409311357826304,"6",HA6 1NZ
Norwood Junction,534001,168193,51.3969543221338,-0.0752098565302298,"4",SE25 5AG
Notting Hill Gate,525296,180481,51.5093753363454,-0.195921618455085,"1,2",W11 3HT
Nunhead,535293,175975,51.4665799841859,-0.0536797426440658,"2",SE15 3XE
Oakleigh Park,527001,194800,51.6376763630458,-0.166194966595086,"4",EN5 1BU
Oakwood,529349,195968,51.6476379604749,-0.131853539818674,"5",N14 4UT
Ockendon,559004,182828,51.5219896452329,0.290483475055789,"7",RM15 6PD
Old Street,532764,182474,51.525581471626,-0.0876229578285339,"1",EC1V 9NR
Orpington,545500,165900,51.3735200472526,0.0890289014663727,"6",BR6 0SX
Osterley,514529,177094,51.4812168100862,-0.352096096073539,"4",TW7 4PU
Oval,531108,177516,51.4814126004267,-0.11332107586241,"2",SE11 4PP
Oxford Circus,529102,181227,51.5152234024753,-0.140836171281216,"1",W1C 2JS
Paddington,526680,181185,51.5153937854761,-0.17573675205718,"1",W2 1RH
Palmers Green,530925,192798,51.6187867479936,-0.110272500024408,"4",N13 4PN
Park Royal,519074,182274,51.5268340201739,-0.284928917693023,"3",W5 3EL
Parsons Green,525029,176645,51.4749601526113,-0.201124492361412,"2",SW6 4HU
Peckham Rye,534152,176271,51.4695113647382,-0.0699835531862991,"2",SE15 5DQ
Penge East,535374,170791,51.4199753489725,-0.0544952648066812,"4",SE20 7BQ
Penge West,534952,170567,51.4180629281155,-0.0606457645522225,"4",SE20 8NU
Perivale,516404,183270,51.5363418211961,-0.323070421981107,"4",UB6 7NP
Petts Wood,544440,167548,51.3885989909001,0.074480029768347,"5",BR5 1LZ
Phipps Bridge,526534,168717,51.4033767278033,-0.182296788876552,"3,4,5,6",CR4 3QN
Piccadilly Circus,529612,180625,51.5096967485824,-0.133711597193113,"1",W1J 9HS
Pimlico,529711,178386,51.4895528621095,-0.13310825841606,"1",SW1V 2JA
Pinner,512233,189409,51.5923616780875,-0.38122379020978,"5",HA5 5LZ
Plaistow,540058,183305,51.5312883350351,0.0177806419767876,"3",E13 0DY
Plumstead,544803,178820,51.4897924244717,0.0842996165468695,"4",SE18 7EA
Ponders End,536097,195599,51.64273069128,-0.0345251045263664,"5",EN3 4LA
Pontoon Dock,541226,180102,51.5022162156561,0.0333257074807419,"3",E16 2SB
Poplar,537698,180603,51.507588070486,-0.0172754933083506,"2",E14 0DS
Preston Road,518260,187292,51.5721037281558,-0.294972012548964,"4",HA3 0PS
Prince Regent,541215,180905,51.509434549718,0.0334885740458409,"3",E16 3HE
Pudding Mill Lane,537930,183585,51.534327854309,-0.0127685119528796,"2,3",E15 2PH
Purfleet,555417,178174,51.4811730060298,0.236774835792541,"7",RM16 1PL
Purley,531500,161497,51.3373635541226,-0.113613517836059,"6",CR8 2AP
Purley Oaks,532503,162594,51.3469893399568,-0.0988153330628922,"6",CR2 0ND
Putney,523992,175061,51.4609525305127,-0.216603373518713,"2,3",SW15 1RT
Putney Bridge,524476,175842,51.4678653375334,-0.209365416848384,"2",SW6 3UH
Queens Park,524612,183239,51.5343126505701,-0.204798149386757,"2",NW6 6HJ
Queens Road Peckham,535015,176825,51.4742847092653,-0.057354978856183,"2",SE15 2JR
Queensbury,518802,189728,51.5938829754361,-0.286331597393279,"4",HA8 5NP
Queenstown Road,528763,176738,51.4749591271495,-0.147355312102418,"2",SW8 3RX
Queensway,525883,180615,51.5104492329499,-0.187419903087067,"1",W2 4SS
Radlett,516375,199856,51.6854132716598,-0.317987633655748,"",WD7 7AP
Rainham,552097,182099,51.5173405152786,0.19069197549114,"6",RM13 9YH
Ravensbourne,538699,170201,51.4138703786316,-0.00693781553200695,"4",BR3 5HE
Ravenscourt Park,522558,178711,51.4940679805396,-0.235969233097656,"2",W6 0UG
Rayners Lane,512979,187538,51.5753967323171,-0.371060813774267,"5",HA5 5EG
Raynes Park,523206,169303,51.4093753455167,-0.229912939347557,"4",SW20 8NE
Rectory Road,534001,186199,51.5587634766966,-0.0683856647215925,"2",N16 7QB
Redbridge,541833,188371,51.5763669173707,0.0453940439621216,"4",IG4 5BG
Reedham,530835,160821,51.3314417130642,-0.12340262441461,"6",CR8 2DG
Reeves Corner,531895,165726,51.3752772004597,-0.10637977823085,"3,4,5,6",CR0 1XP
Regents Park,528765,182174,51.523810673215,-0.145344410943574,"1",NW1 5HA
Richmond,518072,175174,51.4632328858425,-0.301739134006667,"4",TW9 2AZ
Rickmansworth,505717,194605,51.6403230144667,-0.473684584103803,"7",WD3 1QY
Riddlesdown,532497,161001,51.3326748309249,-0.0994936674782967,"6",CR8 1HN
Roding Valley,541612,192882,51.6169564460846,0.0440262070089692,"4",IG9 6LN
Romford,551377,188455,51.5746415918762,0.183055272296591,"6",RM1 1SX
Rotherhithe,535239,179870,51.5015945048312,-0.0529662964141603,"2",SE16 4LF
Royal Albert,542029,180823,51.5084938696371,0.0451771450658638,"3",E16 2QD
Royal Oak,525764,181485,51.5182943526052,-0.188823673616337,"2",W2 6ET
Royal Victoria,540139,180833,51.5090552350648,0.017965412568385,"3",E16 1DE
Ruislip,509510,187102,51.5721619209745,-0.421234925940202,"6",HA4 8LD
Ruislip Gardens,510367,185763,51.5599601781373,-0.409294111142661,"5",HA4 6LG
Ruislip Manor,510088,187258,51.5734515745101,-0.412849354371243,"6",HA4 9AA
Russell Square,530207,182122,51.5230130380911,-0.12459019776958,"1",WC1N 1LG
Sanderstead,532855,162743,51.3482462536541,-0.093708500054184,"6",CR2 0PL
Sandilands,533869,165749,51.3750222721497,-0.0780265897730704,"3,4,5,6",CR0 5PN
Selhurst,532993,167636,51.3921857699136,-0.0898990370877537,"4",SE25 6LL
Seven Kings,545401,187095,51.5639933517618,0.0963195747390778,"4",IG3 8RE
Seven Sisters,533646,188927,51.5833621599912,-0.0724668228194505,"3",N15 5LA
Shadwell,534936,180942,51.5113001552667,-0.0569192071261326,"2",E1 2QE
Shenfield,561356,195022,51.6308730972021,0.329952264360176,"7",CM15 8JD
Shepherds Bush,523741,179904,51.5045321509841,-0.218519159443698,"2",W12 8LH
Shepherds Bush Market,523121,180039,51.5058807081072,-0.227400493416075,"2",W12 7JD
Shoreditch High Street,533501,182258,51.5234668189696,-0.0770874246719852,"1",E1 6AW
Shortlands,539399,169300,51.4056023667952,0.00276754438906633,"4",BR2 0JA
Sidcup,546300,172698,51.434398457571,0.103315359084748,"5",DA15 7AW
Silver Street,533544,192472,51.6152424779722,-0.0725897415602479,"4",N18 1QX
Slade Green,552250,176584,51.4677476551531,0.190518387554055,"6",DA8 2NX
Sloane Square,528080,178657,51.4923597642465,-0.156488857475889,"1",SW1W 8BB
Smitham,530098,159802,51.322452953248,-0.134347057284217,"6",CR5 2JA
Snaresbrook,540161,188828,51.5808912737665,0.0214639277817424,"4",E11 1QE
South Acton,520166,179279,51.4996858283591,-0.270215207515349,"3",W3 0DS
South Bermondsey,535156,178319,51.487676615354,-0.0547548212374044,"2",SE16 2PL
South Croydon,532896,164358,51.3627501979834,-0.0925173632865502,"5",CR2 7PA
South Ealing,517605,179437,51.5016440207428,-0.307040244951366,"3",W5 4QB
South Hampstead,526425,184081,51.5414768475966,-0.178371199960387,"2",NW8 0DJ
South Harrow,514334,186376,51.5646801684189,-0.351893970947759,"5",HA2 8HN
South Kensington,526865,178817,51.4940713655842,-0.173923023092099,"1",SW7 2NB
South Kenton,517350,187153,51.5710444494788,-0.308142977291795,"4",HA9 8QT
South Merton,524917,168662,51.4032405551849,-0.205550301341164,"4",SW20 9JT
South Quay,537636,179853,51.5008636064987,-0.0184606926832228,"2",E14 9SH
South Ruislip,511080,185437,51.5568903024427,-0.399115910294711,"5",HA4 6TP
South Tottenham,533697,188599,51.5804025862268,-0.0718559566013612,"3",N15 6ND
South Wimbledon,525828,170033,51.4153607099116,-0.191974546238533,"3,4",SW19 1DE
South Woodford,540577,190026,51.5915526163454,0.027943078326039,"4",E18 1JJ
Southall,512620,179804,51.5059569116018,-0.378711189802266,"4",UB2 4AA
Southbury,534803,196199,51.6484337253443,-0.0529833105595679,"5",EN3 4HW
Southfields,524730,173291,51.4448833134345,-0.206609385570515,"3",SW18 5RJ
Southgate,529675,194278,51.6323758481904,-0.127770047251446,"4",N14 5BH
Southwark,531566,180025,51.5038536204048,-0.105794939570331,"1",SE1 8NW
St Helier,525408,167191,51.3899121636438,-0.199014591955063,"4",SM4 6SF
St James Street,536402,188694,51.5806086640813,-0.0328045617393515,"3",E17 7PJ
St Johns,537400,176298,51.4689752947396,-0.0232406618355604,"2",SE8 4EW
St Margarets,516732,174250,51.4552059913457,-0.321324247881547,"4",TW1 2LH
St Mary Cray,546698,168298,51.3947594079163,0.107217899555122,"6",BR5 3SN
St Pancras,530122,182959,51.5305544016814,-0.12550578197006,"1",NW1 2QP
St. James's Park,529629,179503,51.4996097944303,-0.133878755377767,"1",SW1H 0BD
St. Johns Wood,526742,183352,51.5348544108574,-0.174064840419389,"2",NW8 6DN
St. Pauls,532105,181261,51.5148352959337,-0.0975710006650858,"1",EC2V 6AA
Stamford Brook,521913,178738,51.4944499677626,-0.245246309525915,"2",W6 0SB
Stamford Hill,533381,187928,51.5744476037189,-0.0766683419097026,"3",N16 5AG
Stanmore,517574,192569,51.6196734439499,-0.303099292944956,"5",HA7 4PD
Star Lane,539148,182091,51.5206042511229,0.00419100262681453,"3",E16 4SR
Stepney Green,535566,182149,51.5219958335811,-0.0473825233217984,"2",E1 4AQ
Stockwell,530473,176470,51.4721592557897,-0.122846304228405,"2",SW9 9AE
Stoke Newington,533710,186845,51.5646376099448,-0.0723353946781513,"2",N16 6YA
Stonebridge Park,519690,184197,51.5439865540715,-0.275400441518915,"3",NW10 0RW
Stoneleigh,522021,164155,51.3633640523036,-0.24870965707129,"5",KT17 2JA
Stratford,538533,184421,51.5416925793617,-0.00375164102765845,"3",E15 1AZ
Stratford High Street,538729,184032,51.538148951559,-0.00108035600376027,"3",E15 3PA
Stratford International,538175,184758,51.5448085348083,-0.00877843401659567,"3",E15 2LZ
Strawberry Hill,515500,172502,51.4397478321209,-0.339617731106479,"5",TW1 4PP
Streatham,529946,171303,51.42584586267,-0.132325496748753,"3",SW16 6HP
Streatham Common,529729,170534,51.4189846707873,-0.135726165100961,"3",SW16 5NT
Streatham Hill,530233,172714,51.4384603654093,-0.127681481482866,"3",SW2 4PA
Sudbury and Harrow Road,516853,185300,51.5544937834055,-0.315926241750592,"4",HA0 2HA
Sudbury Hill,515427,185584,51.5573395592764,-0.336392115131209,"4",HA1 3RA
Sudbury Hill Harrow,515490,185697,51.5583422723845,-0.335446693118045,"4",HA1 3RJ
Sudbury Town,516832,184955,51.5513974425485,-0.316343485736328,"4",HA0 2LA
Sundridge Park,540599,170200,51.4133937992276,0.0203651090029858,"4",BR1 3TR
Surbiton,518070,167315,51.3925995331194,-0.304384559830353,"6",KT6 4PE
Surrey Quays,535641,178954,51.4932668568496,-0.0475299876540577,"2",SE16 2UE
Sutton,526028,163823,51.3595061352235,-0.19130201116946,"5",SM1 1JA
Sutton Common,525593,165598,51.3755546948934,-0.196919912385798,"4",SM1 3HY
Swiss Cottage,526611,184259,51.5430348466642,-0.175626604430278,"2",NW3 6HY
Sydenham,535311,171609,51.42734125177,-0.0550886709366784,"3",SE26 5EU
Sydenham Hill,533548,172145,51.4325758875121,-0.0802302078783204,"3",SE21 7HW
Syon Lane,516306,177163,51.4814746877807,-0.326495034576377,"4",TW7 5NT
Tadworth,523097,156199,51.2916278641188,-0.236008015886358,"6",KT20 5SP
Tattenham Corner,522593,158140,51.3091813104276,-0.242566272809415,"6",KT18 5PR
Teddington,516019,170817,51.4244974970743,-0.332705337018505,"6",TW11 9AA
Temple,530995,180810,51.5110406072706,-0.113725750277665,"1",WC2R 2PH
Thames Ditton,515721,166818,51.3886160720744,-0.338292837634167,"6",KT7 0PA
Theobalds Grove,535933,201119,51.6923725889852,-0.0347481344111863,"7",EN8 7BG
Therapia Lane,530290,166843,51.3856857907782,-0.129017106854559,"3,4,5,6",CR0 3DD
Theydon Bois,545509,199180,51.6725520831721,0.102890736252082,"6",CM16 7EU
Thornton Heath,532242,168317,51.3984810780709,-0.100433165116845,"4",CR7 8RX
Tolworth,519834,165603,51.3768433160348,-0.2796201149932,"5",KT5 9NU
Tooting,527969,170591,51.4198966325446,-0.161002472127555,"3",SW17 9JR
Tooting Bec,528015,172366,51.4358380641067,-0.159700492309773,"3",SW17 9AH
Tooting Broadway,527415,171373,51.4270491448249,-0.16868452742757,"3",SW17 0SU
Tottenham Court Road,529774,181354,51.5162108700746,-0.131110438934185,"1",W1D 2DA
Tottenham Hale,534483,189465,51.5879977781772,-0.0601878226919314,"3",N17 9LR
Totteridge and Whetstone,526111,193951,51.6302467196558,-0.179354263099613,"4",N20 9QP
Tower Gateway,533725,180809,51.5103926423114,-0.0744098772286296,"1",EC3N 1JL
Tower Hill,533566,180805,51.5103942732372,-0.0767011984581268,"1",EC3N 4DJ
Tufnell Park,529200,185816,51.5564407979347,-0.137742175150487,"2",N19 5QB
Tulse Hill,531797,172903,51.4397974275299,-0.105122509095841,"3",SE27 9BW
Turkey Street,535129,198903,51.672653660962,-0.0472299313571245,"6",EN3 5TT
Turnham Green,521267,178804,51.4951819412486,-0.25452456805284,"2",W4 1LR
Turnpike Lane,531524,189650,51.5903581339156,-0.102805041186646,"3",N15 3NX
Twickenham,516221,173687,51.4502509473096,-0.328860226374421,"5",TW1 1BD
Upminster,556167,186833,51.5587633566288,0.251400801076897,"6",RM14 2TD
Upminster Bridge,555002,186681,51.5577188010339,0.234541888686178,"6",RM12 6PL
Upney,545844,184260,51.538405647702,0.101531744050965,"4",IG11 9LS
Upper Holloway,529778,186630,51.563623304644,-0.129109363657748,"2",N19 4DJ
Upper Warlingham,534100,158383,51.3087722546557,-0.0774816619121048,"6",CR3 0EP
Upton Park,541204,183931,51.5366282006416,0.0345418396504738,"3",E13 9AP
Uxbridge,505698,184161,51.5464545066041,-0.477101559701882,"6",UB8 1JZ
Vauxhall,530366,177978,51.4857358017157,-0.123829952856406,"1,2",SW8 1SR
Victoria,528941,179131,51.4964239527317,-0.143920706325316,"1",SW1E 5JX
Waddon,531151,164828,51.3673792570589,-0.117394076608697,"5",CR0 4NA
Waddon Marsh,531082,165906,51.3770829520234,-0.117987464951922,"3,4,5,6",CR0 4XT
Wallington,528841,163985,51.3603315443838,-0.15086383512315,"5",SM6 0DZ
Waltham Cross,536520,200343,51.6852572563228,-0.0265642572484255,"7",EN8 7LU
Walthamstow Central,537286,188986,51.5830181133671,-0.0199405450269344,"3",E17 7LP
Walthamstow Queens Road,537020,188815,51.5815461914951,-0.0238439433319081,"3",E17 7QZ
Wandle Park,531422,165505,51.3734007157328,-0.113253321178582,"3,4,5,6",CR0 4JS
Wandsworth Common,527719,173530,51.4463656043586,-0.163536980965717,"3",SW12 8NL
Wandsworth Road,529354,176226,51.4702232022236,-0.139037675747108,"2",SW8 4PA
Wandsworth Town,525985,175119,51.4610340757433,-0.187910037730367,"2",SW18 1SU
Wanstead,540685,188176,51.5749021498173,0.0287604723850641,"4",E11 2NT
Wanstead Park,540592,185600,51.5517780784731,0.0263899430085046,"3",E7 0HU
Wapping,535030,180170,51.5043403163738,-0.0558608145326272,"2",E1W 3PA
Warren Street,529253,182272,51.5245799886272,-0.138278331644798,"1",NW1 3AA
Warwick Avenue,526158,182030,51.5231044351319,-0.18295329305572,"2",W9 2PT
Waterloo,531050,179933,51.5031466396974,-0.113259251998453,"1",SE1 7NY
Watford,509579,196610,51.6576050960735,-0.417270006883679,"7",WD18 7LE
Watford High Street,511360,196098,51.652653704545,-0.391696729322962,"8",WD17 2EG
Watford Junction,511023,197340,51.6638830132479,-0.396171957174806,"",WD17 1ET
Wellesley Road,532511,165752,51.3753675385357,-0.0975249086343253,"3,4,5,6",CR0 2DD
Welling,546096,176073,51.464777088199,0.101775038473133,"4",DA16 3AT
Wembley Central,518214,185039,51.5518647803027,-0.296392327030991,"4",HA9 6AG
Wembley Park,519373,186341,51.5633224581255,-0.279242552649773,"4",HA9 9AA
Wembley Stadium,518924,185366,51.5546545705647,-0.286046446735794,"4",HA9 8BQ
West Acton,519394,181273,51.5177701502659,-0.28065717548937,"3",W3 6UP
West Brompton,525383,178030,51.4873289147265,-0.195538811890396,"2",SW5 9JX
West Croydon,532188,166098,51.3785521741293,-0.102034292902506,"5",CR0 2TA
West Drayton,506124,180122,51.510071218536,-0.472176096858205,"6",UB7 9DY
West Dulwich,532798,173053,51.4409118212972,-0.090672676392605,"3",SE21 8HN
West Ealing,516690,180749,51.5136252052097,-0.319782954648735,"3",W13 0NQ
West Finchley,525507,191601,51.6092627277839,-0.188917109550708,"4",N3 1NT
West Ham,539202,182974,51.5285255193599,0.00531739383062769,"3",E15 3BN
West Hampstead,525524,184726,51.5474743330508,-0.191126585563572,"2",NW6 2LX
West Hampstead Thameslink,525423,184852,51.5486291226148,-0.192537519702221,"2",NW6 1XJ
West Harrow,514163,187957,51.5789242379876,-0.353846697165067,"5",HA1 4HE
West India Quay,537471,180505,51.5067626576677,-0.0205824471509307,"2",E14 4ED
West Kensington,524635,178321,51.4901093624437,-0.206203694687821,"2",W14 9NL
West Norwood,531956,171955,51.43124111565,-0.103189134912662,"3",SE27 0HS
West Ruislip,508364,186791,51.5695878713703,-0.437860145556687,"6",HA4 7WD
West Silvertown,540455,180155,51.502884434803,0.0222460466499381,"3",E16 2AT
West Sutton,525081,164539,51.3661501352022,-0.204644548460784,"5",SM1 2EH
West Wickham,538266,166563,51.3812842012659,-0.0145763304220232,"5",BR4 0PY
Westbourne Park,524920,181764,51.5209888413386,-0.200882515158211,"2",W11 1AB
Westcombe Park,540199,178103,51.4845088959986,0.0177457002429358,"3",SE3 7EQ
Westferry,537064,180814,51.5096381479109,-0.0263231371398518,"2",E14 8AD
Westminster,530240,179718,51.5014015913501,-0.125002079249726,"1",SW1A 2JR
White City,523296,180750,51.5122324376415,-0.22463193144813,"2",W12 7RH
White Hart Lane,533693,191340,51.6050347708718,-0.070870326822947,"3",N17 7RP
Whitechapel,534738,181859,51.5195877855755,-0.0594204851891818,"2",E1 1BY
Whitton,514220,173568,51.4495881907174,-0.3576820608721,"5",TW2 7LG
Whyteleafe,533842,158505,51.3099293183463,-0.0811351653827466,"6",CR3 0AD
Whyteleafe South,534169,157797,51.3034898034421,-0.076712514743058,"6",CR3 0BD
Willesden Green,523350,184884,51.5493732864318,-0.22240760412448,"2,3",NW2 4QT
Willesden Junction,521905,182942,51.5322339634936,-0.243909143297483,"3",NW10 4RA
Wimbledon,524791,170647,51.4211078449718,-0.206662835920936,"3",SW19 1PS
Wimbledon Chase,524306,169347,51.4095309322704,-0.214089769747315,"3",SW20 8DB
Wimbledon Park,525274,172158,51.4345809526287,-0.199186275276999,"3",SW19 7DZ
Winchmore Hill,531529,194494,51.6338868591581,-0.100916933316384,"4",N21 3NG
Wood Green,531038,190427,51.5974537283121,-0.109526589468032,"3",N22 8HH
Wood Lane,523314,180464,51.5096581948003,-0.224472608638623,"2",W12 7DS
Wood Street,538521,189426,51.5866699440063,-0.0019538980132223,"4",E17 3NZ
Woodford,540952,191778,51.6072018443785,0.0340562023454831,"4",IG8 7QE
Woodgrange Park,541861,185332,51.5490525352504,0.0445724961062516,"3,4",E7 8AA
Woodmansterne,528720,159385,51.3190185794268,-0.154262128540663,"6",CR5 3HS
Woodside,534716,167115,51.3870976831339,-0.0653471780994997,"3,4,5,6",SE25 5DP
Woodside Park,525725,192564,51.6178683998642,-0.185425504725524,"4",N12 8SE
Woolwich Arsenal,543754,178803,51.489907116548,0.0691939064074983,"4",SE18 6HX
Woolwich Dockyard,542738,178908,51.4911077947946,0.0546123483136155,"3",SE18 5JY
Worcester Park,522192,166133,51.3811044872894,-0.245575291815635,"4",KT4 7ND
