year,type_of_property,availability,no_of_private_residential_properties
2013,Detached Houses,Available,10638
2013,Detached Houses,Vacant,371
2013,Semi-Detached Houses,Available,21538
2013,Semi-Detached Houses,Vacant,736
2013,Terrace Houses,Available,38873
2013,Terrace Houses,Vacant,1332
2013,Apartments,Available,73950
2013,Apartments,Vacant,5561
2013,Condominium Units,Available,144371
2013,Condominium Units,Vacant,10003
2014,Detached Houses,Available,10675
2014,Detached Houses,Vacant,395
2014,Semi-Detached Houses,Available,21733
2014,Semi-Detached Houses,Vacant,704
2014,Terrace Houses,Available,39132
2014,Terrace Houses,Vacant,1307
2014,Apartments,Available,80263
2014,Apartments,Vacant,8771
2014,Condominium Units,Available,157011
2014,Condominium Units,Vacant,12885