Facility Type,Borough,Facility Name,Phone,Address,Latitude,Longitude
Child Health Center,Queens,Elmhurst Hospital Center,718-334-4000,"79 01
Elmhurst, NY 11373
",40.73871040256307, -73.87835115518163
Nursing Home,Manhattan,Gouverneur Healthcare Services,212-238-7000,"227 Madison Street
New York, NY 10002
",40.712841397447676, -73.98759853472393
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
",40.76197648622593, -73.94999967494499
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,212-848-6000 ,"900 Main Street Roosevelt Island
New York, NY 10044
",40.76197648622593, -73.94999967494499
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,212-238-7000,"227 Madison Street
New York, NY 10002
",40.712841397447676, -73.98759853472393
Acute Care Hospital,Manhattan,Bellevue Hospital Center,212-562-4141,"462 First Avenue
New York, NY 10016
",40.73962320748018, -73.97657284664467
Acute Care Hospital,Manhattan,Harlem Hospital Center,212-939-1000,"506 Lenox Avenue
New York, NY 10037
",40.814275217501645, -73.9406028312914
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,718-963-8000,"760 Broadway
Brooklyn, NY 11206
",40.70052661478004, -73.94164385876527
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,212-939-8950,"2698 Eighth Avenue
New York, NY 10030
",40.82213997942128, -73.94238974885882
Child Health Center,Queens,Parsons Communicare Clinic,718-334-6401,"90 37 Parsons Boulevard
Jamaica, NY 11432
",40.71311535449007, -73.79282099978928
Child Health Center,Manhattan,Washington Heights Child Health Care Center,212-795-0880,"600 168th Street
New York, NY 10032
",40.8411278753413, -73.9399616966274
Diagnostic & Treatment Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,718-579-4000,"545 142nd Street
Bronx, NY 10454
",40.8101218640426, -73.9168118463476
Acute Care Hospital,Brooklyn,Coney Island Hospital,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
",40.58664543395709, -73.96583011577816
Child Health Center,Queens,South Queens Community Health Center,718-883-6699,"114 02 Guy R Brewer Blvd
Jamaica, NY 11434
",40.6769452621142, -73.77530690169215
Child Health Center,Manhattan,Judson Health Center,212-925-5000,"34 Spring Street
New York, NY 10012
",40.72173569231745, -73.9957194126485
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
",40.671899036220196, -73.87831881794278
Child Health Center,Brooklyn,Homecrest Child Health Clinic,718-339-6243,"1601 Avenue
Brooklyn, NY 11229
",40.60123350732056, -73.94436854117521
Acute Care Hospital,Queens,Elmhurst Hospital Center,718-334-4000,"79 01
Elmhurst, NY 11373
",40.73871040256307, -73.87835115518163
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,718-260-7500,"100 Portland Avenue
Brooklyn, NY 11205
",40.69514358466528, -73.97623557216579
Child Health Center,Brooklyn,Williamsburg Health Center,718-963-7820,"279 Graham Avenue
Brooklyn, NY 11211
",40.712103238035546, -73.94399407154296
Acute Care Hospital,Bronx,Lincoln Medical and Mental Health Center,718-579-5000,"234 149th Street
Bronx, NY 10451
",40.81768848404917, -73.92420027148326
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,718-245-7000,"594 Albany Avenue
Brooklyn, NY 11203
",40.660054516809524, -73.93976149574165
Acute Care Hospital,Queens,Queens Hospital Center,718-883-3000,"82 70 164th Street
Jamaica, NY 11432
",40.71311535449007, -73.79282099978928
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,718-317-3000,"460 Brielle Avenue
Staten Island, NY 10314
",40.597953866387, -74.13176632590061
Child Health Center,Manhattan,Sydenham Health Center,212-932-6500,"215 125th Street
New York, NY 10027
",40.809338651191524, -73.94919748407278
Child Health Center,Manhattan,Smith Communicare Health Center,212-346-0500,"60 Madison Street
New York, NY 10038
",40.71196972987868, -73.99754221557811
Child Health Center,Brooklyn,Jonathan Williams Houses Child Health Clinic,718-387-6407,"118 Roebling Street
Brooklyn, NY 11211
",40.7153676098287, -73.95616582356922
Child Health Center,Staten Island,Stapleton Child Health Clinic,718-390-0712,"111 Canal Street
Staten Island, NY 10304
",40.626576449488084, -74.07699447008653
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,718-761-2060,"2040 Forest Avenue
Staten Island, NY 10303
",40.62609762250995, -74.157474896698
Child Health Center,Brooklyn,Brownsville Child Health Clinic,718-495-7283,"259 Bristol Street
Brooklyn, NY 11212
",40.66491117049781, -73.9114109163207
Child Health Center,Manhattan,Dyckman Clinica De Las Americas,212-544-2001,"175 Nagle Avenue
New York, NY 10034
",40.86195793859726, -73.92380763599004
Child Health Center,Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,718-452-1146,"388 Pulaski Street
Brooklyn, NY 11206
",40.693923715490335, -73.93545687521755
Child Health Center,Bronx,Morrisania Diagnostic & Treatment Center,718-960-2777,"1225 Gerard Avenue
Bronx, NY 10452
",40.83590638794867, -73.92003403701939
Acute Care Hospital,Brooklyn,Woodhull Medical and Mental Health Center,718-963-8000,"760 Broadway
Brooklyn, NY 11206
",40.70052661478004, -73.94164385876527
Child Health Center,Bronx,Daniel Webster Houses Child Health Clinic,718-538-2147,"401 168th Street
Bronx, NY 10456
",40.83227984896664, -73.90953460187417
Child Health Center,Manhattan,Metropolitan Hospital Center,212-423-6262,"1901 First Avenue
New York, NY 10029
",40.784557024104835, -73.9437956536432
Child Health Center,Queens,Springfield Gardens Medical Center,718-883-6800,"134 64 Springfield Blvd
Springfield Gardens, NY 11413
",40.66971118122609, -73.75087393328533
Child Health Center,Brooklyn,Sumner Avenue Houses Child Health Clinic,718-455-3884,"47 Marcus Garvey Boulevard
Brooklyn, NY 11206
",40.697855287659436, -73.94100661082196
Child Health Center,Queens,Corona Child Health Clinic,718-334-6100,"104 04 Corona Avenue
Corona, NY 11368
",40.749678220373596, -73.85304068857687
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11225
",40.671962495106705, -73.89520529393025
Child Health Center,Bronx,Health Center at Tremont,718-918-8700,"1826 Arthur Avenue
Bronx, NY 10457
",40.8440002082747, -73.8945487244044
Child Health Center,Manhattan,Baruch Houses Family Health Center,212-673-5990,"280 Delancey Street
New York, NY 10002
",40.71636701786879, -73.98013566050324
Child Health Center,Brooklyn,Coney Island Hospital,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
",40.58664543395709, -73.96583011577816
Child Health Center,Bronx,North Central Bronx Hospital,718-519-5000,"3424 Kossuth Avenue
Bronx, NY 10467
",40.88046337245572, -73.88159287750194
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11207
",40.671962495106705, -73.89520529393025
Child Health Center,Bronx,Gunhill Health Center,718-918-8850,"1012 Gunhill Road
Bronx, NY 10469
",40.87462600688702, -73.85788741682623
Child Health Center,Brooklyn,Bushwick Communicare,718-573-4860,"335 Central Avenue
Brooklyn, NY 11221
",40.69473842718728, -73.91922391666616
Child Health Center,Manhattan,Harlem Hospital Center,212-939-1000,"506 Lenox Avenue
New York, NY 10037
",40.814275217501645, -73.9406028312914
Acute Care Hospital,Bronx,Jacobi Medical Center,718-918-5000,"1400 Pelham Parkway
Bronx, NY 10461
",40.857397104610754, -73.84657120408676
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,718-387-2211,"279 Graham Ave
Brooklyn, NY 11206
",40.712103238035546, -73.94399407154296
Child Health Center,Manhattan,Bellevue Hospital Center,212-562-4141,"462 First Avenue
New York, NY 10016
",40.73962320748018, -73.97657284664467
Child Health Center,Queens,Junction Boulevard Child Health Clinic,718-334-6150,"34 33 Junction Boulevard
Jackson Heights, NY 11372
",40.75163073936716, -73.88361254528269
Child Health Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,718-579-4000,"454 142nd Street
Bronx, NY 10454
",40.81090131647696, -73.91931316170773
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,718-946-3400,"2201 Neptune Avenue
Brooklyn, NY 11224
",40.578488319966645, -73.98949714812117
Child Health Center,Manhattan,Roberto Clemente Health Center,212-387-7400,"540 13th Street
New York, NY 10009
",40.72930119328952, -73.97991662823794
Diagnostic & Treatment Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,212-932-6500 ,"215 125 Street
New York, NY 10027
",40.809338651191524, -73.94919748407278
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,718-260-7500 ext. 7859,"295 Flatbush Avenue Extension
Brooklyn, NY 11201
",40.69205340232306, -73.98241301998932
Child Health Center,Manhattan,Manhattanville/St. Nicholas Houses Child Health Care Center,212-865-1300,"281 127th Street
New York, NY 10027
",40.811276995392966, -73.9496577551632
Child Health Center,Brooklyn,Cumberland Diagnostic & Treatment Center,718-260-7500,"100 Portland Avenue
Brooklyn, NY 11205
",40.69514358466528, -73.97623557216579
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,212-238-7200,"227 Madison Street
New York, NY 10002
",40.712841397447676, -73.98759853472393
Acute Care Hospital,Brooklyn,Kings County Hospital Center,718-245-3131,"451 Clarkson Avenue
Brooklyn, NY 11203
",40.65576180860461, -73.94466261553725
Acute Care Hospital,Bronx,North Central Bronx Hospital,718-519-5000,"3424 Kossuth Avenue
Bronx, NY 10467
",40.88046337245572, -73.88159287750194
Child Health Center,Queens,Queens Hospital Center,718-883-3000,"82 68 164th Street
Jamaica, NY 11432
",40.71311535449007, -73.79282099978928
Child Health Center,Queens,Woodside Houses Child Health Clinic,718-334-6140,"50 53 Newtown Road
Woodside, NY 11377
",40.74519376448069, -73.9048471440804
Acute Care Hospital,Manhattan,Metropolitan Hospital Center,212-423-6262,"1901 First Avenue
New York, NY 10029
",40.784557024104835, -73.9437956536432
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,718-735-0561,"1218 Prospect Place
Brooklyn, NY 11213
",40.67349222287333, -73.93570169738597
Child Health Center,Bronx,Lincoln  Medical &  Mental Health Center,718-579-5000,"234 149th Street
Bronx, NY 10451
",40.81768848404917, -73.92420027148326
Child Health Center,Bronx,Melrose Houses Child Health Clinic,718-292-2820,"348 156th Street
Bronx, NY 10451
",40.82130119464553, -73.91770978721219
Child Health Center,Brooklyn,Greenpoint Community Health Center,718-630-3220,"875 Manhattan Avenue
Brooklyn, NY 11222
",40.729665609685696, -73.95404546005379
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,718-638-8258,"434 Dekalb Avenue
Brooklyn, NY 11205
",40.69036662899639, -73.95978265948307
Child Health Center,Manhattan,Grant Houses Clinic,212-678-8420,"3170 Broadway
New York, NY 10027
",40.81525566048751, -73.95843049269739
Child Health Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,212-932-6500,"215 125th Street
New York, NY 10027
",40.809338651191524, -73.94919748407278
Child Health Center,Brooklyn,Kings County Hospital Center,718-245-3131,"451 Clarkson Avenue
Brooklyn, NY 11203
",40.65576180860461, -73.94466261553725
Child Health Center,Manhattan,La Clinica Del Barrio,212-410-7940,"413 120th Street
New York, NY 10035
",40.79820504446883, -73.93266794517427
Child Health Center,Brooklyn,Bushwick Community Health Center,718-919-1200,"1420 Bushwick Avenue
Brooklyn, NY 11207
",40.68430356626175, -73.90908238517792
Diagnostic & Treatment Center,Bronx,Morrisania Diagnostic & Treatment Center,718-960-2777,"1225 Gerard Avenue
Bronx, NY 10452
",40.83590638794867, -73.92003403701939
Child Health Center,Bronx,Jacobi Medical Center,718-918-5000,"1400 Pelham Parkway
Bronx, NY 10461
",40.857397104610754, -73.84657120408676
Child Health Center,Queens,Ridgewood Communicare Clinic,718-334-6190,"769 Onderdonk Avenue
Ridgewood, NY 11385
",40.702949636007894, -73.90543308996985
