CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUC,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75
Residential,1,SOV,SOUTHVIEW,EAST,BUILT-OUT,1950s,2015,,1874,831,108,0,0,435,0,0,585,25,46,14,54,0,106,0,0,0,1,0,0,0,0,11,0,22,3,0,0,2,89,0,146,9,0,6,2,22,5,57,1,0,0,0,0,0,0,0,0,0,0,44,1,57,2,0,0,0,1,0,54,0,0,0,0,52,0,124,2,0,0,1,568,429,1414,15,1,0,1,227,298,121,124,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CFC,CFB - CURRIE,WEST,BUILT-OUT,BUILDING OUT,2015,,502,280,87,0,0,162,0,0,121,0,0,63,90,0,5,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,3,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,58,56,142,2,30,0,1,107,105,351,1,12,0,1,22,48,37,57,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,LMR,LOWER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,2015,,3480,2403,138,0,0,754,0,0,51,20,4,2195,100,0,30,0,0,0,1,0,2,0,8,2039,645,3002,101,47,0,1,23,1,32,5,0,1,0,18,17,38,0,2,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,3,0,106,0,0,0,0,93,63,181,7,0,0,1,48,25,113,2,0,0,3,1269,819,98,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SSD,SUNNYSIDE,CENTRE,BUILT-OUT,INNER CITY,2015,,3852,2586,152,0,0,739,0,0,507,44,18,1739,179,0,94,0,3,0,0,0,2,0,1,1505,326,2213,54,179,0,0,60,2,86,23,0,11,0,43,28,97,1,0,0,0,0,0,0,0,0,0,0,13,7,22,5,0,0,0,4,0,8,1,0,0,0,170,75,364,8,1,0,0,475,301,1062,29,1,2,5,1093,909,165,97,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CAP,CAPITOL HILL,CENTRE,BUILT-OUT,1950s,2015,,4465,2315,328,0,0,844,0,0,894,531,4,424,46,0,414,0,0,0,1,1,0,0,1,392,19,565,31,0,0,3,312,16,517,81,0,18,0,491,264,1275,19,21,0,0,0,0,0,0,0,0,0,3,3,5,1,0,0,0,2,1,61,0,0,0,0,44,22,104,2,0,0,6,839,519,1938,35,12,2,2,701,795,321,243,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BNK,BANKVIEW,CENTRE,BUILT-OUT,INNER CITY,2015,,5516,3534,365,0,0,905,0,0,514,86,40,2445,232,0,213,1,3,0,0,0,0,0,24,2322,448,3524,99,0,0,4,172,14,259,33,1,3,0,74,27,155,11,1,0,0,0,0,0,0,0,0,0,35,4,61,5,0,0,3,1,1,8,0,0,0,1,206,109,406,21,4,0,2,475,302,1103,28,8,1,4,1652,1225,264,134,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,NHU,NORTH HAVEN UPPER,NORTH,BUILT-OUT,1960s/1970s,2015,,624,246,31,0,0,230,0,0,245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,230,623,3,0,0,0,42,92,55,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ING,INGLEWOOD,CENTRE,BUILT-OUT,INNER CITY,2015,,3935,2342,309,0,0,1187,0,0,842,137,4,851,330,0,151,1,20,4,0,1,1,0,5,683,239,920,90,73,0,1,116,18,155,16,0,18,0,129,66,320,5,2,1,0,0,0,0,0,0,0,0,4,0,12,0,0,0,2,24,11,78,1,0,0,0,318,247,648,12,0,0,7,806,606,1802,25,3,1,27,895,792,216,159,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EAG,EAGLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,2015,,534,110,7,0,0,97,0,0,98,0,0,10,0,0,0,0,0,0,2,0,0,0,0,9,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,262,0,0,0,0,0,0,0,0,0,0,0,89,88,258,7,2,0,2,12,42,14,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01F,01F,NORTHWEST,BUILT-OUT,2000s,2015,,332,100,23,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,332,0,0,0,0,3,36,16,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,05B,05B,NORTHEAST,N/A,OTHER,2015,Y,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EDG,EDGEMONT,NORTHWEST,BUILT-OUT,1980s/1990s,2015,,15986,5424,795,0,0,4670,0,0,4403,256,0,291,453,0,20,0,0,0,1,0,0,0,1,277,79,586,13,0,0,0,16,3,32,2,0,2,0,252,165,644,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,146,0,0,0,0,447,317,1073,6,0,0,0,4358,4106,13505,42,1,2,1,513,1897,1182,1546,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RED,RED CARPET,EAST,BUILT-OUT,1960s/1970s,2015,,1668,916,72,0,0,690,0,0,0,0,0,400,0,516,0,0,0,0,0,0,0,0,0,389,251,649,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,495,439,1019,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,363,122,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,BUILT-OUT,1960s/1970s,2015,,11973,4383,967,0,0,3050,0,0,2600,922,6,37,640,0,178,0,0,0,0,0,0,0,0,33,12,60,4,0,0,1,143,7,309,20,0,14,1,913,557,2499,8,0,0,0,0,0,0,0,0,0,0,5,1,13,1,0,0,0,0,0,0,0,0,0,0,630,334,1690,10,0,0,1,2559,2139,7402,38,0,2,0,684,1452,955,1013,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,UNI,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,1960s/1970s,2015,,3020,1373,196,0,0,395,0,0,431,40,0,874,12,0,15,0,0,1,0,0,0,0,4,845,8,1674,25,0,0,0,10,0,28,5,0,0,0,36,4,114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,11,0,39,1,0,0,0,419,383,1163,10,2,0,1,346,560,204,193,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PAT,PATTERSON,WEST,BUILT-OUT,1980s/1990s,2015,,4308,2035,205,0,0,1511,0,0,574,169,0,668,624,0,0,0,0,0,0,0,0,0,1,647,333,1125,20,0,0,0,0,0,0,0,0,0,0,163,138,337,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,529,1184,11,0,0,0,539,511,1662,13,22,0,0,627,765,257,290,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SOC,SOUTH CALGARY,CENTRE,BUILT-OUT,INNER CITY,2015,,3954,2346,229,0,0,1059,0,0,628,284,119,854,329,0,114,1,15,1,0,1,0,0,0,771,293,1173,68,15,0,2,79,4,126,20,3,10,0,262,195,599,14,6,2,0,0,0,0,0,0,0,0,109,34,184,6,4,4,0,17,0,74,1,0,0,0,288,129,508,17,24,0,10,558,404,1290,44,15,1,18,837,868,231,138,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RID,RIDEAU PARK,CENTRE,BUILT-OUT,INNER CITY,2015,,623,371,20,0,0,230,0,0,128,0,0,218,23,0,2,0,0,0,0,0,0,0,6,161,105,239,13,1,37,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,34,4,0,0,0,120,108,348,6,2,0,0,115,109,36,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SIG,SIGNAL HILL,WEST,BUILT-OUT,1980s/1990s,2015,,13613,5252,703,0,0,4620,0,0,3405,372,0,1083,387,0,4,0,0,0,1,0,0,0,0,1022,810,1510,61,0,0,0,3,1,7,1,0,0,0,352,323,654,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,0,0,0,0,371,296,756,15,0,1,1,3354,3190,10634,46,2,2,1,1105,1697,858,1288,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,BUILT-OUT,1950s,2015,,2150,930,172,0,0,543,0,0,607,137,36,16,56,0,77,0,0,1,0,0,0,0,0,13,0,16,3,0,0,0,60,2,94,4,0,13,0,127,46,299,8,0,2,0,0,0,0,0,0,0,0,34,0,44,2,0,0,0,1,1,4,0,0,0,0,52,0,140,4,0,0,1,591,494,1553,11,2,2,1,209,317,167,173,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,NAW,NORTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,2015,,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,GPI,GREAT PLAINS,EAST,N/A,EMPLOYMENT,2015,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,SRI,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,EMPLOYMENT,2015,,17,19,2,0,0,5,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,15,9,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DRN,DEER RUN,SOUTH,BUILT-OUT,1980s/1990s,2015,,5319,2114,352,0,0,1627,0,0,1562,117,0,216,206,0,13,0,0,0,0,0,0,0,0,208,1,350,8,0,0,0,10,1,17,2,0,1,0,116,88,328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,86,397,3,0,0,0,1550,1451,4227,11,0,1,0,385,859,369,427,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BYV,BAYVIEW,SOUTH,BUILT-OUT,1960s/1970s,2015,,648,248,24,0,0,237,0,0,212,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,53,1,0,0,0,205,202,595,7,0,0,0,37,98,40,56,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WLD,WILDWOOD,WEST,BUILT-OUT,1950s,2015,,2679,1059,219,0,0,900,0,0,1026,17,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,20,2,0,1,0,15,4,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,998,894,2622,24,4,0,1,204,354,192,262,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MLR,MILLRISE,SOUTH,BUILT-OUT,1980s/1990s,2015,,7041,2643,469,0,0,2083,0,0,1705,106,0,533,272,0,25,0,0,1,1,0,0,0,0,514,327,809,19,0,0,0,24,2,52,1,0,0,0,106,91,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,175,0,0,0,0,262,164,633,10,0,0,0,1693,1499,5167,12,0,0,2,552,859,507,605,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,REN,RENFREW,CENTRE,BUILT-OUT,INNER CITY,2015,,6550,3430,528,0,0,1767,0,0,1453,240,3,866,474,0,388,0,4,1,1,0,0,0,3,826,332,1334,14,22,1,4,314,7,466,54,0,16,0,209,130,535,11,20,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,1,5,0,19,0,0,0,0,461,321,934,12,1,0,3,1372,976,3255,57,20,1,6,1081,1340,418,324,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ACA,ACADIA,SOUTH,BUILT-OUT,1960s/1970s,2015,,11053,5030,689,0,0,2689,0,0,2282,132,0,2025,384,93,107,0,0,4,1,0,2,0,4,1953,363,3693,67,0,1,1,83,5,135,21,0,2,0,132,82,328,0,0,0,0,80,74,124,12,0,1,0,0,0,0,0,0,0,0,5,2,255,2,0,0,0,374,250,971,10,0,0,2,2243,1913,5547,27,1,9,7,1534,1796,818,650,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,COU,COUNTRY HILLS,NORTH,BUILT-OUT,1980s/1990s,2015,,3835,1427,332,0,0,1175,0,0,979,0,0,200,244,0,4,0,0,0,0,0,0,0,0,200,167,309,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,179,558,4,0,0,0,974,829,2964,5,0,0,0,288,473,240,369,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,BUILT-OUT,1960s/1970s,2015,,971,375,63,0,0,317,0,0,368,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,316,958,6,0,0,0,48,151,95,67,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,10A,10A,EAST,N/A,OTHER,2015,,665,319,34,0,0,271,0,0,16,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,262,628,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,9,37,2,0,0,0,86,135,52,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,BUILDING OUT,2015,,1944,722,275,0,0,564,0,0,342,149,0,0,230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,134,131,429,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132,123,296,8,86,0,1,321,310,1216,2,18,0,0,45,160,137,194,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SHW,SHERWOOD,NORTH,DEVELOPING,2000s,2015,,4200,1409,397,0,0,1030,0,0,1108,0,0,257,35,1,8,0,0,0,0,0,0,0,0,243,88,449,14,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,33,0,4,997,942,3735,9,98,0,0,142,262,241,503,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,COR,CORAL SPRINGS,NORTHEAST,BUILT-OUT,2000s,2015,,5853,1545,282,0,0,1363,0,0,1437,1,0,0,36,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,135,12,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,24,75,0,0,0,0,1424,1335,5642,13,0,0,0,70,260,345,615,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CRA,CRANSTON,SOUTHEAST,DEVELOPING,BUILDING OUT,2015,,17185,6182,2126,0,0,5295,0,0,4777,348,12,506,532,0,7,0,0,0,0,0,0,0,0,436,318,734,23,47,0,0,7,2,11,0,0,0,0,337,301,818,8,3,0,0,0,0,0,0,0,0,0,12,3,31,0,0,0,0,0,0,0,0,0,0,0,447,360,986,23,62,0,0,4644,4311,14605,66,67,0,0,696,1921,1308,1780,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EAU,EAU CLAIRE,CENTRE,BUILT-OUT,CENTRE CITY,2015,,1683,1321,60,0,0,619,0,0,1,0,0,1296,23,0,0,0,0,0,0,0,1,0,6,991,604,1621,291,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,20,15,51,3,0,0,0,1,0,3,0,0,0,1,476,434,81,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,BUILT-OUT,1980s/1990s,2015,,14008,4657,898,0,0,4174,0,0,4237,24,0,0,379,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,32,5,0,0,0,23,19,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,216,932,5,0,0,2,4192,3937,12989,42,0,1,0,443,1445,947,1618,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MIS,MISSION,CENTRE,BUILT-OUT,INNER CITY,2015,,4494,3395,40,0,0,922,0,0,73,2,0,3194,56,0,58,0,7,1,3,1,0,0,7,2846,863,4049,174,165,2,0,46,2,60,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,194,0,0,0,1,37,29,68,10,8,0,3,65,27,121,4,0,1,12,1814,1095,74,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,GBK,GLENBROOK,WEST,BUILT-OUT,1950s,2015,,7599,3312,609,0,0,1622,0,0,906,695,2,764,721,0,221,0,0,0,1,0,2,0,1,703,198,1202,17,43,0,1,185,13,312,26,1,8,0,661,291,1711,25,8,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,3,0,39,0,0,0,0,680,442,2039,24,17,0,0,862,678,2291,32,11,1,3,877,997,511,652,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,TUX,TUXEDO PARK,CENTRE,BUILT-OUT,INNER CITY,2015,,5119,2728,350,0,0,1121,0,0,1061,458,31,610,238,0,310,2,15,2,0,0,1,0,4,549,134,783,32,25,0,2,265,9,446,36,2,5,1,418,264,1100,28,11,0,0,0,0,0,0,0,0,0,24,7,49,3,4,4,8,10,0,43,2,0,0,0,227,74,488,10,0,1,15,955,633,2210,79,11,1,20,855,933,378,258,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
