TYPE,NAME,ADDRESS,BOARD,GRADES,SUBCATEGOR
ECS Private Operator,Britannia Children's Center,3 WINDSOR CR SW,Montessori Education Preschool & ECS Institute of Alberta,ECS,
ECS Private Operator,Foothills Creative Beginnings,3516 BULYEA CR NW,Foothills Creative Beginnings Preschool and E.C.S. Association,ECS,
ECS Private Operator,Temple Early Childhood Services,4427 58 ST NE,Coral Springs Child Care Society,ECS,
ECS Private Operator,Society for Treatment of Autism,400 94 AV SE,Society For Treatment of Autism (Calgary Region),ECS,
ECS Private Operator,Providence Children's Centre - Beddington,183 BEDFORD DR NE,Providence Child Development Society,ECS,
ECS Private Operator,Apple Tree Preschool,#300 2335 162 AV SW,Trail Kids Ltd.,ECS,
ECS Private Operator,Children's Commons Ecological Society Nature Kindergarten,106 FULLERTON RD SE,Children's Commons Ecological Society,ECS,
ECS Private Operator,Early Discoveries Childhood Services,4625 VARSITY DR NW,Early Discoveries Childhood Services Ltd.,ECS,
Public School,Menno Simons Christian,7000 ELKTON DR SW,Palliser Regional Division No. 26,Elementary/Junior High,
ECS Private Operator,Montessori Children's House Academy Ltd #1,2411 4 ST NW,Montessori Children's House Charity Foundation of Calgary,ECS,
ECS Private Operator,I'm For Kids Team,20 INVERNESS SQ SE,I'm For Kids Team Ltd.,ECS,
Private School,Horizon Academy,1620 37 ST SW,Horizon Academy Institute,Senior High,
ECS Private Operator,The Heartland Agency,1121 14 AV SW,The Heartland Agency,ECS,
ECS Private Operator,Cause & Effect Early Intervention Services,#500 11488 24 ST SE,Cause and Effect Foundation,ECS,
Public School,Calgary Christian,2839 49 ST SW,Palliser Regional Division No. 26,Elementary,
Private School,Calgary French & International,700 77 ST SW,Calgary French & International School Society,Elementary/Junior High/Senior High,
Private School,Bethel Christian Academy,2220 39 AV NE,Bethel Christian Academy Society,Elementary/Junior High/Senior High,
Private School,Phoenix Home Education Foundation Centre,320 19 ST SE,Phoenix Home Education Foundation,Elementary/Junior High/Senior High,
Private School,Calgary Jewish Academy,6700 KOOTENAY ST SW,The Calgary Jewish Academy,Elementary/Junior High,
Private School,West Island College,7410 BLACKFOOT TR SE,West Island College Society of Alberta,Junior High/Senior High,
Private School,Greek Community,1 TAMARAC CR SW,Hellenic Society of Calgary and District,Senior High,
Public School,Palliser Alternative Outreach,2635 37 AV NE,Palliser Regional Division No. 26,Unknown,
ECS Private Operator,Learning Experience,17107 JAMES MCKEVITT RD SW,The Learning Experience Society,ECS,
ECS Private Operator,Always A Child,119 HAWKTREE BA NW,Always A Child Team Ltd.,ECS,
Francophone,Notre-Dame de la Paix,809 WILLINGDON BV SE,The Southern Francophone Education Region No. 4,Elementary,
Charter,North Middle School Campus,211 MCKNIGHT BV NE,Foundations for the Future Charter Academy Charter School Society,Elementary/Junior High,
Private School,Calgary Waldorf,515 COUGAR RIDGE DR SW,Calgary Waldorf School Society,Elementary/Junior High,
Private School,Calgary Chinese Private,128 2 AV SW,The Calgary Chinese Public School Society,Senior High,
ECS Private Operator,Big Plans for Little Kids,4108 MONTGOMERY VW NW,Big Plans for Little Kids Ltd.,ECS,
Private School,Akiva Academy,140 HADDON RD SW,Congregation House of Jacob - Mikveh Israel,Elementary/Junior High/Senior High,
Private School,Italian School of Calgary,416 1 AV NE,Centro Linguistico E Culturale Italiano Calgary,Junior High/Senior High,
Charter,Calgary Arts Academy,4931 GROVE HILL RD SW,Calgary Arts Academy Society,Elementary/Junior High,
Private School,Chinook Winds Adventist Academy,10101 2 AV SW,Alberta Conference of 7th Day Adventist Church,Elementary/Junior High/Senior High,
Francophone,École La Mosaïque,199 MARTINDALE BV NE,The Southern Francophone Education Region No. 4,Elementary,
Private School,Bearspaw Christian School & College,15001 69 ST NW,Bearspaw Christian School Society,Elementary/Junior High/Senior High,
Private School,Rundle College Elementary,2634 12 AV NW,Rundle College Society,Elementary,
ECS Private Operator,Providence Children's Centre - Hawkwood,555 HAWKWOOD BV NW,Providence Child Development Society,ECS,
Private School,Renfrew Educational Services-Bowness Centre,8620 48 AV NW,Renfrew Educational Services Society,Unknown,
Private School,Eastside Christian Academy,1320 ABBEYDALE DR SE,Eastside City Church and Missionary Society,Elementary/Junior High/Senior High,
ECS Private Operator,Behaviour Therapy and Learning Centre Ltd.,2107 SIROCCO DR SW,Behaviour Therapy and Learning Centre Ltd.,ECS,
ECS Private Operator,Providence Children's Centre - Falconridge,116 FALSBY WY NE,Providence Child Development Society,ECS,
Charter,FFCA High School Campus,2116 MACKAY RD NW,Foundations for the Future Charter Academy Charter School Society,Junior High/Senior High,
ECS Private Operator,Dalhousie Community Kindergarten,5432 DALHART RD NW,Dalhousie Community Kindergarten Society,ECS,
Charter,Connect Charter,5915 LEWIS DR SW,Connect Charter School Society,Elementary/Junior High,
Private School,Maria Montessori,2452 BATTLEFORD AV SW,"Maria Montessori Education Centre of Calgary, Ltd.",Elementary/Junior High,
Charter,Westmount Elementary,728 32 ST NW,Westmount Charter School Society,Elementary,
Private School,Calgary Chinese Alliance,150 BEDDINGTON BV NE,Calgary Chinese Alliance School Society,Senior High,
Public School,ADLC Calgary Writing Centre,363 58 AV SE,Pembina Hills Regional Division No. 7,Unknown,
Private School,Yufeng Chinese,27 CITADEL RIDGE CL NW,Yufeng Chinese School Centre,Elementary/Junior High/Senior High,
ECS Private Operator,Foothills Alliance ECS,333 EDGEPARK BV NW,Foothills Alliance Kindergarten Society,ECS,
Francophone,Ecole de la Rose Sauvage,2512 4 ST NW,The Southern Francophone Education Region No. 4,Elementary/Junior High/Senior High,
Private School,Renfrew Educational Services - Sundance Centre,75 SUNPARK DR SE,Renfrew Educational Services Society,Elementary,
Charter,"Almadina Language Charter Academy, Mountain View Campus",2031 SABLE DR SE,Almadina School Society,Elementary,
Charter,Northwest Elementary Campus,719 44 AV NW,Foundations for the Future Charter Academy Charter School Society,Elementary,
Private School,Rundle College Academy,4330 16 ST SW,Rundle College Society,Elementary/Junior High/Senior High,
Private School,Delta West Academy,414 11A ST NE,Delta West Academy Society,Elementary/Junior High/Senior High,
Private School,New Heights School and Learning Services,3910 QUESNAY WOOD DR SW,New Heights School and Learning Services Society,Elementary/Junior High/Senior High,
Private School,Webber Academy,1515 93 ST SW,Webber Academy Foundation,Elementary/Junior High/Senior High,
ECS Private Operator,Brite Studios,30 SPRINGBOROUGH BV SW,Marlborough Day Nursery ECS Limited,ECS,
Private School,Language School-German Canadian Club,2333 18 AV NE,"Language School of the German Canadian Club, Calgary",Unknown,
Private School,Foothills Academy,745 37 ST NW,Foothills Academy Society,Elementary/Junior High/Senior High,
Francophone,Sainte Marguerite Bourgeoys,4700 RICHARD RD SW,The Southern Francophone Education Region No. 4,Elementary/Junior High/Senior High,
Charter,"Almadina Language Charter Academy, Ogden Campus",1919 76 AV SE,Almadina School Society,Elementary/Junior High,
Separate School,Clear Water Academy,2521 DIEPPE AV SW,Christ the Redeemer Catholic Separate Regional Division No. 3,Elementary/Junior High/Senior High,
Private School,Montessori School of Calgary,2201 CLIFF ST SW,Montessori School of Calgary,Elementary,
Charter,Northeast Elementary Campus,1140 MAYLAND DR NE,Foundations for the Future Charter Academy Charter School Society,Elementary,
Public School,"Calgary Islamic School, Akram Jomaa Campus",2612 37 AV NE,Palliser Regional Division No. 26,Elementary/Junior High/Senior High,
Private School,Mountain View Academy,3915 34 ST NE,Mountain View Academy Society,Elementary/Junior High/Senior High,
ECS Private Operator,One World Child Development Centre,622 11 AV SW,Calgary Urban Project Society,ECS,
Private School,Tyndale Christian,,The Canadian Reformed School Society of Calgary,Elementary/Junior High/Senior High,
Public School,"Calgary Islamic School, Omar Bin Al-Khattab Campus",225 28 ST SE,Palliser Regional Division No. 26,Elementary/Junior High,
Private School,The Third Academy,510 77 AV SE,Third Academy International Ltd.,Elementary/Junior High/Senior High,
Private School,The School of Alberta Ballet,906 12 AV SW,The Alberta Ballet Company,Junior High/Senior High,
Public School,Trinity Christian,295 MIDPARK WY SE,Palliser Regional Division No. 26,Elementary/Junior High,
Private School,Columbia College,802 MANNING RD NE,Columbia College Corp.,Unknown,
ECS Private Operator,CUPS One World Child Development Centre,1001 10 AV SW,Calgary Urban Project Society,ECS,
Charter,Southwest Elementary Campus,898 SYLVESTER CR SW,Foundations for the Future Charter Academy Charter School Society,Elementary,
ECS Private Operator,McKenzie Learning Centre,97 MCKENZIE TOWNE BV SE,Marlborough Day Nursery ECS Limited,ECS,
ECS Private Operator,Glamorgan Community Kindergarten Society,4715 45 ST SW,Glamorgan Community Kindergarten Society,ECS,
ECS Private Operator,Providence Children's Centre - McKenzie Towne,325 MCKENZIE TOWNE LI SE,Providence Child Development Society,ECS,
Public School,Heritage Christian Academy,2003 MCKNIGHT BV NE,Palliser Regional Division No. 26,Elementary/Junior High/Senior High,
Charter,South Middle School Campus,8710 ANCOURT RD SE,Foundations for the Future Charter Academy Charter School Society,Elementary/Junior High,
Private School,Alberta Chung Wah,328 CENTRE ST SE,Alberta Chung Wah School Society,Senior High,
Private School,Glenmore Christian Academy Junior High,16520 24 ST SW,GCA Educational Society,Elementary/Junior High,
Private School,Glenmore Christian Academy Elementary,16520 24 ST SW,GCA Educational Society,Elementary,
Private School,River Valley School ECS,3125 BOWWOOD DR NW,River Valley School Society,Unknown,
Private School,River Valley,3125 BOWWOOD DR NW,River Valley School Society,Elementary,
Private School,Little Angels,599 NORTHMOUNT DR NW,Asasa Learning,Unknown,
Private School,Asasa Academy,599 NORTHMOUNT DR NW,Asasa Learning,Elementary,
ECS Private Operator,University Day Care Centre,3820 24 AV NW,University Child Care Centre Society,ECS,
Private School,Renfrew Educational Services - Child Development Centre,3820 24 AV NW,Renfrew Educational Services Society,Unknown,
Private School,Renfrew Educational Services-Janice McTighe Centre,2050 21 ST NE,Renfrew Educational Services Society,Elementary,
Private School,Renfrew Educational Services - Park Place Centre,2050 21 ST NE,Renfrew Educational Services Society,Unknown,
Private School,Banbury Crossroads,2451 DIEPPE AV SW,Banbury Crossroads School,Elementary/Junior High/Senior High,
Private School,Access International College (Calgary) Inc.,2451 DIEPPE AV SW,Access International College (Calgary) Incorporated,Senior High,
Private School,Calgary Academy Collegiate,1677 93 ST SW,The Calgary Society for Effective Education of Learning Disabled,Elementary/Junior High/Senior High,
Private School,Calgary Academy,1677 93 ST SW,The Calgary Society for Effective Education of Learning Disabled,Elementary/Junior High/Senior High,
Public School,Master's College,4414 CROWCHILD TR SW,Palliser Regional Division No. 26,Junior High/Senior High,
Public School,Master's Academy,4414 CROWCHILD TR SW,Palliser Regional Division No. 26,Elementary,
ECS Private Operator,Oaks and Acorns Montessori at Auburn Bay,500 MIDPARK WY SE,Montessori Projects of Alberta Ltd.,ECS,
ECS Private Operator,Oaks and Acorns Montessori Kindergarten,500 MIDPARK WY SE,Montessori Projects of Alberta Ltd.,ECS,
Separate School,Notre Dame High ,11900 COUNTRY VILLAGE LI NE,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,John W. Costello Catholic ,300 STRATHCONA DR SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Holy Name ,3011 35 ST SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Bonaventure ,1710 ACADIA DR SE,Calgary Roman Catholic Separate School District No. 1,Junior High,
Separate School,Monsignor E.L. Doyle ,8887 SCURFIELD DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Sylvester ,7318 SILVER SPRINGS BV NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Jerome ,11616 PANORAMA HILLS BV NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Our Lady of Fatima ,6320 TARALEA PA NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Rita ,7811 RANCHVIEW DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Holy Family ,904 32 ST SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Light of Christ ,6270 SADDLEHORN DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Peter ,720 58 ST SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Dominic ,4820 DALHART RD NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Don Bosco ,13615 DEER RIDGE DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. John Paul II ,119 CASTLERIDGE DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Mary's High ,111 18 AV SW,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,St. Cyril ,2990 CEDARBRAE DR SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Father Doucet ,65 SHANNON DR SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Vincent de Paul ,4525 49 ST NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Hubert ,320 72 AV NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Madeleine d'Houet ,108 22 ST NW,Calgary Roman Catholic Separate School District No. 1,Junior High,
Separate School,St. Alphonsus ,928 RADNOR AV NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Henry ,7423 10 ST NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Benedict ,10340 19 ST SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Gerard ,1204 96 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Monsignor J.S. Smith ,2919 DOUGLASDALE BV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Bernadette ,55 LYNNDALE CR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. John XXIII ,1420 FALCONRIDGE DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Mark ,4589 MARBANK DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Anthony ,4811 6 ST SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Monica ,235 18 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Clare ,12455 COVENTRY HILLS WY NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Luke ,1232 NORTHMOUNT DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Kateri Tekakwitha ,1005 ABBOTSFORD DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Brigid ,730 CITADEL WY NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Margaret ,3320 CAROL DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Monsignor A.J. Hetherington ,4 CORAL SPRINGS BV NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Helena ,320 64 AV NW,Calgary Roman Catholic Separate School District No. 1,Junior High,
Separate School,St. Joseph ,2512 5 ST NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Philip ,13825 PARKSIDE DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Bishop O'Byrne High ,333 SHAWVILLE BV SE,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,St. Albert the Great ,225 PRESTWICK AV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Our Lady of Lourdes ,1916 2 ST SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High / Senior High,
Separate School,St. Maria Goretti ,375 HAWKSTONE DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Christ the King ,333 CRANSTON WY SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Cecilia ,610 AGATE CR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Holy Angels ,275 RIVERGLEN DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Monsignor Neville Anderson ,327 SANDARAC DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Blessed Mother Teresa ,121 MIDLAKE BV SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Bishop Carroll High ,4624 RICHARD RD SW,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,Our Lady of the Evergreens ,322 EVERRIDGE DR SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Ambrose ,1500 ARBOUR LAKE RD NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Stephen ,10910 ELBOW DR SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Bishop Grandin High ,111 HADDON RD SW,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,St. Martha ,6020 4 AV NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Joan of Arc ,7970 WENTWORTH DR SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Patrick ,6006 RUNDLEHORN DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Michael ,4511 8 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Pius X ,2312 18 ST NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Ascension of Our Lord ,509 HARVEST HILLS DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Damien ,3619 28 ST SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Boniface ,927 LAKE SYLVAN DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Holy Cross ,3719 26 AV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Blessed Cardinal Newman ,16201 MCKENZIE LAKE BV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Holy Trinity ,1717 41 ST SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Mother Mary Greene ,115 EDENWOLD DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Our Lady of Peace ,14826 MILLRISE HL SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Father Lacombe High ,3615 RADCLIFFE DR SE,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,Father Scollen ,6839 TEMPLE DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Post Secondary,University of Calgary,2975 UNIVERSITY WY NW,,,
Post Secondary,Art Smith Aero Centre,1916 MCCALL LD NE,,,
Post Secondary,Bow Valley College,332 6 AV SE,,,
Post Secondary,Mount Royal University - City Centre Campus,833 4 AV SW,,,
Post Secondary,Mount Royal University - Holy Cross Campus,2210 2 ST SW,,,
Post Secondary,Mount Royal University - Lincoln Park Campus,4825 MOUNT ROYAL GA SW,,,
Post Secondary,Alberta College of Art and Design,616 BOYCE CR NW,,,
Post Secondary,University of Calgary - Downtown Campus,906 8 AV SW,,,
Separate School,St. Bede ,333 BERMUDA DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Bishop Kidd ,1420 28 ST SE,Calgary Roman Catholic Separate School District No. 1,Junior High,
Separate School,Monsignor J.J. O'Brien ,99 BRIDLEWOOD RD SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Jude ,730 WOODBINE BV SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Basil ,919 TUSCANY DR NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Thomas Aquinas ,4540 26 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Gregory ,5340 26 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Bishop McNally High ,5700 FALCONRIDGE BV NE,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,St. Francis High ,,Calgary Roman Catholic Separate School District No. 1,Senior High,
Separate School,St. Augustine ,7112 7 ST SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Corpus Christi ,5607 THORNTON RD NW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. William ,11020 FAIRMOUNT DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Thomas More ,6110 TEMPLE DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Isabella ,855 COPPERFIELD BV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Sacred Heart ,1523 13 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Wilfrid ,4225 44 AV NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,Our Lady of the Assumption ,7311 34 AV NW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Anne Academic Centre,1010 21 AV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High / Senior High,
Separate School,St. Matthew ,416 83 AV SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. James ,2227 58 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,Father Whelihan ,70 SUNMILLS DR SE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Andrew ,4331 41 AV SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Angela ,231 6 ST NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Rose of Lima ,2419 50 ST NE,Calgary Roman Catholic Separate School District No. 1,Elementary / Junior High,
Separate School,St. Rupert ,111 RUNDLEHILL DR NE,Calgary Roman Catholic Separate School District No. 1,Elementary,
Separate School,St. Jean Brebeuf ,5030 NORTHLAND DR NW,Calgary Roman Catholic Separate School District No. 1,Junior High,
Separate School,St. Catherine ,11 CANATA CL SW,Calgary Roman Catholic Separate School District No. 1,Elementary,
Post Secondary,SAIT Polytechnic,509 ROSS RD NW,,,
